Title,Product link,Price,Category,Brand,Model,Seller,Viewes,Availability,Processor,GPU,Display,Screen Size,Resolution,Storage,RAM,Cache,Cores/Threads,Battery,Operating System
"HP Victus16-r1062ne Intel Core i5 14450HX-RTX 3050 6GB-16GB 5600Mhz DDR5-1TB SSD Gen4 -16.1 FHD IPS 144Hz","https://www.sigma-computer.com/item?id=7642&name=HP_Victus16-r1062ne_Intel_Core_i5_14450HX-RTX_3050_6GB-16GB_5600Mhz_DDR5-1TB_SSD_Gen4_-16.1_FHD_IPS_144Hz","43999 LE","Laptop","HP","r1062ne","sigma","1475 items","In stock","Intel Core i5-14450HX","NVIDIA GeForce RTX 3050 with 6GB GDDR6 VRAM","16.1-inch FHD IPS display with a 144Hz refresh rate (provides smooth and vibrant visuals. perfect for gaming and content creation)","Not mentioned","Not mentioned","1TB SSD Gen4 (ultra-fast NVMe storage for quick boot and load times)","16GB DDR5 (2 x 8GB modules) with a blazing-fast 5600 MHz speed","24MB","10 cores (6 performance cores + 4 efficient cores). 16 threads","Not mentioned","Not mentioned"
"HP Victus16-r1066ne Intel Core i5 14450HX-RTX 3050 6GB-16GB 5600Mhz DDR5-1TB SSD Gen4 -16.1 FHD IPS 144Hz","https://www.sigma-computer.com/item?id=7641&name=HP_Victus16-r1066ne_Intel_Core_i5_14450HX-RTX_3050_6GB-16GB_5600Mhz_DDR5-1TB_SSD_Gen4_-16.1_FHD_IPS_144Hz","43499 LE","Laptop","HP","r1066ne","sigma","1217 items","In stock","Intel Core i5-14450HX","NVIDIA GeForce RTX 3050 with 6GB of VRAM","Not mentioned","Not mentioned","Not mentioned","Graphics Card NVIDIA GeForce RTX 3050 with 6GB of VRAMExcellent for gaming. rendering. and other GPU-intensive tasks","16GB DDR5 (2 x 8GB modules) at 5600MHz","Not mentioned","10 cores (6 performance + 4 efficiency) / 16 threads","Not mentioned","Not mentioned"
"MSI Modern 15 F13MG Laptop - Intel Core i5-1335U - 8GB DDR4 3200MHz - 512GB SSD - Intel Iris Xe Graphics - 15.6 FHD  1920x1080","https://www.sigma-computer.com/item?id=7624&name=MSI_Modern_15_F13MG_Laptop_-_Intel_Core_i5-1335U_-_8GB_DDR4_3200MHz_-_512GB_SSD_-_Intel_Iris_Xe_Graphics_-_15.6_FHD_(1920x1080)","21749 LE","Laptop","MSI","F13MG","sigma","1835 items","In stock","Intel Core i5-1335U (13th Gen. up to 4.60 GHz) ( 10 cores & 12 threads )","Not mentioned","15.6" FHD (1920x1080)","Not mentioned","Not mentioned","512GB NVMe SSD","8GB DDR4","Not mentioned","Not mentioned","Not mentioned","Not mentioned"
"Lenovo LOQ 15IRX9 83DV0071PS Laptop  Intel Core i7-13650HX  512GB SSD  16GB RAM  15.6 Inches  FHD IPS 144Hz Display  NVIDIA GeForce RTX 4050 GDDR6 6GB  FreeDos","https://www.sigma-computer.com/item?id=7600&name=Lenovo_LOQ_15IRX9_83DV0071PS_Laptop,_Intel_Core_i7-13650HX,_512GB_SSD,_16GB_RAM,_15.6_Inches,_FHD_IPS_144Hz_Display,_NVIDIA_GeForce_RTX_4050_GDDR6_6GB,_FreeDos","46499 LE","Laptop","Lenovo","83DV0071PS ","sigma","2891 items","Out of stock","Intel® Core™ i7-13650HX (14C/20T. up to 4.9GHz)","NVIDIA® GeForce RTX™ 4050 (6GB GDDR6. 105W TGP. G-SYNC®)","15.6" FHD IPS. 144Hz. 100% sRGB","Not mentioned","Not mentioned","16GB DDR5-4800 (upgradable to 32GB)","Not mentioned","Not mentioned","Not mentioned","60Wh","Not mentioned"
"MSI-I9-Vector16 HX A14VHG-801EG Inte Core i9-14900HX- RTX4080 GDDR6 12GB - 32GB DDR5- 1TBNVMe PCIe Gen4x4- 16 QHD 240Hz- Win11Home","https://www.sigma-computer.com/item?id=7583&name=MSI-I9-Vector16_HX_A14VHG-801EG_Inte_Core_i9-14900HX-_RTX4080_GDDR6_12GB_-_32GB_DDR5-_1TBNVMe_PCIe_Gen4x4-_16_QHD_240Hz-_Win11Home","133999 LE","Laptop","MSI","Vector 16 HX A14V","sigma","1394 items","In stock","Intel Core i9-14900HX (14 cores. 24 threads)","NVIDIA GeForce RTX 4080 (12GB GDDR6)","16-inch QHD+ (2560x1600). 240Hz refresh rate. vibrant visuals","Not mentioned","Not mentioned","1TB NVMe PCIe Gen4x4 SSD","32GB DDR5 (expandable)","Not mentioned","Not mentioned","Not mentioned","Windows 11 Home"
"MSI RAIDER 18 HX A14VIG 9S7-182232-471 Gaming Laptop Intel Core i9 14900HX 32GB RAM 2TB SSD 18 Inch QHD 240Hz 16GB NVIDIA RTX 4090 Win 11","https://www.sigma-computer.com/item?id=7582&name=MSI_RAIDER_18_HX_A14VIG_9S7-182232-471_Gaming_Laptop_Intel_Core_i9_14900HX_32GB_RAM_2TB_SSD_18_Inch_QHD_240Hz_16GB_NVIDIA_RTX_4090_Win_11","176499 LE","Laptop","MSI","RAIDER 18 HX A14V","sigma","1999 items","In stock","Latest Intel® Core™ i9-14900HX (14th Gen. powerhouse performance).","Not mentioned","10. 240Hz. 100% DCI-P3. VESA DisplayHDR™ 1000 Certified – stunning visuals with IPS-level panel.","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned","99.9Whr for extended productivity.","Windows 11 Home / Pro (recommended Pro for business)."
"HP Victus 16-r0029nia  Intel Core i5-13500H  RAM 16GB  512GB SSD  NVIDIA RTX 3050 6GB  16.1 FHD IPS 144Hz  Performance blue","https://www.sigma-computer.com/item?id=7525&name=HP_Victus_16-r0029nia,_Intel_Core_i5-13500H,_RAM_16GB,_512GB_SSD,_NVIDIA_RTX_3050_6GB,_16.1_FHD_IPS_144Hz,_Performance_blue","38999 LE","Laptop","HP","16-r0029nia","sff4$vjs2hf5kg","2908 items","Out of stock","Intel® Core™ i5-13500HUp to 4.7 GHz with Intel® Turbo Boost Technology18 MB L3 cache12 cores. 16 threads","Up to 4.7 GHz with Intel® Turbo Boost Technology","12 cores. 16 threads","Not mentioned","Not mentioned","18 MB L3 cache","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned"
"MSI B13VE i7-13620H 10C 16T  RAM 16G DDR4 3200Hz  2 8 -SSD 512G Gen4 RTX4050 6G 15.6-FHD-IPS-144Hz Blue Backlit-Arabic-1.86 kg-2Year Warranty","https://www.sigma-computer.com/item?id=7508&name=MSI_B13VE_i7-13620H(10C/16T)_RAM_16G_DDR4_3200Hz_(2*8)-SSD_512G_Gen4_RTX4050_6G_15.6-FHD-IPS-144Hz_Blue_Backlit-Arabic-1.86_kg-2Year_Warranty","44999 LE","Laptop","MSI","THIN15B13VE-9S7-16R831-2614","sigma","5151 items","Out of stock","Intel Core i7-13620H (10 Cores. 16 Threads)","NVIDIA GeForce RTX 4050. 6GB GDDR6 (45W TGP)","15.6" FHD (1920x1080). IPS. 144Hz","Not mentioned","Not mentioned","512GB SSD (Gen4) + 2.5" HDD/SSD slot","16GB DDR4 3200MHz (2x8GB)","Not mentioned","Not mentioned","Not mentioned","Not mentioned"
"MSI Thin 15 B12UCX i5 12450H RTX2050 RAM 8G DDR4 3200Hz SSD 512G 15.6-FHD-IPS-144Hz Blue Backlit-Arabic 1.86 kg-2 Year warranty","https://www.sigma-computer.com/item?id=7506&name=MSI_Thin_15_B12UCX_i5_12450H_RTX2050_RAM_8G_DDR4_3200Hz_SSD_512G_15.6-FHD-IPS-144Hz_Blue_Backlit-Arabic_1.86_kg-2_Year_warranty","27999 LE","Laptop","MSI","THIN15","sigma","10498 items","In stock","Intel Core i5-12450H (12th Gen)","Not mentioned","15.6" FHD IPS. 144Hz – smooth visuals and vibrant colors.","Not mentioned","Not mentioned","8GB DDR4 (3200MHz) – expandable for multitasking needs.","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned"
"ASUS TUF Gaming F15 FX507ZI4-LP34W  Intel Core i7-12700H NVIDIA RTX 4070 8GB  16GB DDR4 RAM  512GB SSD 15.6 Full HD  1920x1080  with 144Hz","https://www.sigma-computer.com/item?id=7479&name=ASUS_TUF_Gaming_F15_FX507ZI4-LP34W_,Intel_Core_i7-12700H,NVIDIA_RTX_4070_8GB,_16GB_DDR4_RAM,_512GB_SSD,15.6_Full_HD_(1920x1080)_with_144Hz_","63999 LE","Laptop","ASUS","FX507ZI4-LP34W","sigma","3841 items","In stock","Intel Core i7-12700H (14 cores. high-performance).","NVIDIA GeForce RTX 4070 (8GB GDDR6).","15.6" Full HD (1920x1080) with 144Hz refresh rate.","Not mentioned","Not mentioned","16GB DDR4 RAM. upgradeable.","Not mentioned","Not mentioned","Not mentioned","Not mentioned","Not mentioned"
